"Table I.1. Qatar: Thematic Evolution Across NDS1, NDS2, and NDS3",,,,,
Themes,NDS1 (2011–2016),NDS2 (2018–2022),,,NDS3 (2024–2030)
"Economic
Diversification","- Institutional capacity
- Infrastructure as key
enabler","- Private sector involvement
- Regulatory reform",,,"- Knowledge-based economy
- High-value sectors
- Technology and innovation"
Sustainability,"- Efficient resource use
- Sustainable infrastructure",,- Environmental sustainability,,"- Energy consumption reforms
- Emission reductions
- Circular economy initiatives"
,,,- Biodiversity protection,,
,,,- Balancing growth and,,
,,,environmental goals,,
"Human Capital
Development","- Education and labor
market reforms
- Productivity and skills
development
- Public sector education
reforms","- Reduce reliance on low-
skilled labor
- Training and skill
enhancement",,,"- Ready for digital economy and global
competition
- Upskilling and entrepreneurship"
Driver of Growth,"- Public sector-driven
initiatives
- Support national
industries",,- Economic diversification,,"- High-value sectors
- Business-friendly reforms
- High-skilled labor force and
knowledge"
,,,- Public-Private Partnerships,,
,,,(PPP),,
,,,- Infrastructure that support,,
,,,private sector,,
"Infrastructure
Development","- Housing projects
- Roads, ports, airport
development
- Public sector-led projects","- FIFA World Cup 2022
preparation
- Large-scale investments in
transportation
- ICT infrastructure for
knowledge economy",,,"- Renewable energy integration
- Environmentally conscious
construction
- Sustainable, digital infrastructure for
smart economy"
Source: IMF staff calculations.,,,,,
