,,,,,,,,,,,,Comments,
1. Debt coverage in the DSA: 1/,,,,,,,CG,GG,NFPS,CPS,Other,,
"1a. If central government, are non-central government entities insignificant?",,,,,,,,,,,No,,
2. Subsectors included in the chosen coverage in (1) above:,,,,,,,,,,,,,
Subsectors captured in the baseline Inclusion,,,,,,,,,,,,,
,,d,,1,Budgetary central government,,,,,,Yes,,
,SP,etcepxe,GC,"2
3","Extra budgetary funds (EBFs)
Social security funds (SSFs)",,,,,,No,Not applicable,
,,,,,,,,,,,No,,
SPC,FN,:GG,,"4
5","State governments
Local governments",,,,,,No,,
,,,,,,,,,,,No,,
,,,,"6
7
8","Public nonfinancial corporations
Central bank
Other public financial corporations",,,,,,No,,
,,,,,,,,,,,No,,
,,,,,,,,,,,No,,
3. Instrument coverage:,,,,,,,"Currency
& deposits",Loans,"Debt
securities","Oth acct.
payable 2/",IPSGSs 3/,,
,,,,,,,,,,,,,
4. Accounting principles:,,,,,,,Basis of recording,,Valuation of debt stock,,,,
,,,,,,,"Non-cash
basis 4/",Cash basis,"Nominal
value 5/","Face value
6/","Market
value 7/",,
,,,,,,,,,,,,,
5. Debt consolidation across sectors:,,,,,,,,Consolidated,,Non-consolidated,,,
Color code: █ chosen coverage █ Missing from recommended coverage █ Not applicable,,,,,,,,,,,,,
